"bam"|"k05"|"einkommen"
"1"|"nein"|0|63500
"2"|NA|0|33856
"3"|"nein"|0|20300
"4"|NA|0|10000
"5"|"nein"|1|30650
"6"|"ja"|0|8090
"7"|"ja"|0|7900
"8"|"ja"|0|32000
"9"|"nein"|0|11225
"10"|"nein"|1|96000
"11"|"ja"|0|23668
"12"|"ja"|0|12500
"13"|"nein"|1|16510
"14"|"ja"|0|27314
"15"|"nein"|0|24500
"16"|"nein"|0|10550
"17"|"ja"|0|21220
"18"|"ja"|1|20989
"19"|"nein"|0|6000
"20"|"nein"|0|18500
"21"|"nein"|0|31700
"22"|"ja"|0|38400
"23"|"ja"|0|1200
"24"|"nein"|1|26900
"25"|"nein"|1|4000
"26"|"ja"|1|10910
"27"|"ja"|0|17479
"28"|"ja"|0|8000
"29"|"ja"|0|15700
"30"|"nein"|1|30300
"31"|"nein"|1|50300
"32"|"ja"|0|21000
"33"|"nein"|1|29000
"34"|"ja"|0|27800
"35"|"ja"|0|14900
"36"|"nein"|NA|35000
"37"|"ja"|0|13900
"38"|"ja"|0|11628
"39"|"ja"|0|13300
"40"|NA|0|28600
"41"|"ja"|0|20660
"42"|"nein"|NA|19700
"43"|"ja"|0|17455
"44"|"nein"|1|25100
"45"|"ja"|0|13677
"46"|"ja"|0|30750
"47"|"nein"|0|13126
"48"|"nein"|0|37250
"49"|"ja"|0|44000
"50"|"nein"|1|37600
"51"|"nein"|1|24760
"52"|"nein"|0|9380
"53"|"nein"|2|17200
"54"|"nein"|0|12400
"55"|"ja"|0|34200
"56"|"ja"|0|10900
"57"|"nein"|1|21768
"58"|NA|1|22800
"59"|"ja"|0|12000
"60"|"ja"|NA|32350
"61"|"nein"|0|12646
"62"|"ja"|0|28981
"63"|"ja"|0|19298
"64"|"ja"|0|22200
"65"|"nein"|1|18220
"66"|"ja"|0|14700
"67"|"nein"|0|15189
"68"|"nein"|0|18850
"69"|"ja"|0|14434
"70"|NA|0|12000
"71"|"nein"|0|13399
"72"|"ja"|1|9175
"73"|"ja"|0|12000
"74"|"ja"|0|13820
"75"|"ja"|0|16142
"76"|"ja"|0|22641
"77"|"nein"|0|31500
"78"|"nein"|0|28200
"79"|"nein"|0|55600
"80"|"ja"|0|10500
"81"|"ja"|0|21000
"82"|"ja"|0|14600
"83"|"ja"|NA|13200
"84"|"ja"|0|22250
"85"|"nein"|2|5000
"86"|"ja"|0|29117
"87"|"ja"|0|12845
"88"|"ja"|0|14197
"89"|"ja"|0|17500
"90"|"ja"|0|14130
"91"|"ja"|0|3300
"92"|"ja"|0|NA
"93"|"nein"|0|24800
"94"|"nein"|2|12100
"95"|"ja"|0|10787
"96"|"ja"|0|33300
"97"|"ja"|0|28600
"98"|"ja"|0|9152
"99"|"ja"|0|11180
"100"|"ja"|0|51300
"101"|"ja"|0|17500
"102"|"nein"|0|24000
"103"|"ja"|0|6016
"104"|"ja"|0|20750
"105"|"ja"|0|18900
"106"|"nein"|0|16600
"107"|"ja"|0|9466
"108"|"nein"|0|31000
"109"|"ja"|0|6352
"110"|"ja"|0|9000
"111"|"ja"|0|12500
"112"|"ja"|0|25075
"113"|"nein"|0|28630
"114"|"nein"|0|16682
"115"|"nein"|0|29800
"116"|"nein"|0|16150
"117"|"ja"|0|20700
"118"|"nein"|0|24000
"119"|"ja"|0|26000
"120"|"nein"|0|21574
"121"|"nein"|0|11895
"122"|"ja"|0|14500
"123"|"nein"|1|19022
"124"|"nein"|0|22000
"125"|"ja"|0|32430
"126"|"nein"|0|23426
"127"|"nein"|0|14600
"128"|"ja"|NA|59000
"129"|"ja"|0|16700
"130"|"nein"|1|6000
"131"|"nein"|0|22225
"132"|NA|1|15980
"133"|"ja"|0|10877
"134"|"ja"|1|43000
"135"|"ja"|0|NA
"136"|"ja"|0|NA
"137"|"ja"|1|10700
"138"|"nein"|1|14060
"139"|"nein"|0|68035
"140"|"ja"|NA|NA
"141"|"ja"|0|23675
"142"|"nein"|0|14550
"143"|"nein"|3|73600
"144"|"ja"|0|20800
"145"|"ja"|0|19500
"146"|"ja"|0|7800
"147"|NA|0|17505
"148"|"nein"|0|19000
"149"|"nein"|0|28900
"150"|"ja"|2|13665
"151"|"nein"|2|18600
"152"|"nein"|0|6340
"153"|"nein"|1|NA
"154"|"nein"|1|21800
"155"|"nein"|0|7044
"156"|"nein"|0|29300
"157"|"ja"|0|22000
"158"|"nein"|0|21600
"159"|"nein"|1|26040
"160"|"nein"|0|15000
"161"|"ja"|1|17507
"162"|"ja"|1|17000
"163"|"ja"|0|45750
"164"|"ja"|0|10437
"165"|"nein"|0|17700
"166"|"ja"|0|8560
"167"|"ja"|0|13025
"168"|"ja"|0|18857
"169"|"nein"|0|25320
"170"|"ja"|0|15839
"171"|"nein"|0|18290
"172"|"ja"|0|16350
"173"|"nein"|0|18800
"174"|"ja"|0|12085
"175"|"nein"|0|12400
"176"|"nein"|0|23260
"177"|"ja"|0|9900
"178"|"nein"|1|14800
"179"|"nein"|0|56100
"180"|"ja"|2|13700
"181"|"ja"|0|23249
"182"|"ja"|0|43000
"183"|"nein"|0|26613
"184"|"nein"|0|18500
"185"|"nein"|0|23000
"186"|"nein"|1|17045
"187"|"nein"|2|15000
"188"|"ja"|0|17324
"189"|"nein"|1|19392
"190"|"ja"|0|14520
"191"|"ja"|0|17200
"192"|"ja"|0|13140
"193"|"nein"|0|18400
"194"|"ja"|0|10500
"195"|"ja"|0|NA
"196"|"nein"|1|11203
"197"|NA|0|10867
"198"|"nein"|0|37700
"199"|NA|0|NA
"200"|"ja"|0|52500
"201"|"nein"|1|21000
"202"|"nein"|0|17635
"203"|"ja"|0|3671
"204"|"nein"|0|15550
"205"|"nein"|1|13075
"206"|"nein"|1|15000
"207"|"ja"|0|26752
"208"|"ja"|0|21300
"209"|NA|0|3777
"210"|"ja"|2|10200
"211"|"nein"|0|26000
"212"|"ja"|0|13000
"213"|"nein"|0|19855
"214"|"ja"|0|20886
"215"|"ja"|1|33970
"216"|"ja"|1|91000
"217"|"nein"|0|8400
"218"|"nein"|0|31106
"219"|"nein"|1|14500
"220"|"ja"|0|21640
"221"|"ja"|0|39213
"222"|"nein"|0|29000
"223"|"ja"|0|11844
"224"|"nein"|NA|31800
"225"|"nein"|2|16200
"226"|"ja"|0|6250
"227"|"nein"|0|19237
"228"|"ja"|0|9884
"229"|"nein"|1|17410
"230"|"ja"|0|11900
"231"|"nein"|0|35020
"232"|"nein"|0|22000
"233"|"ja"|0|9300
"234"|"ja"|1|24100
"235"|"nein"|0|20883
"236"|"ja"|0|12500
"237"|"nein"|0|19000
"238"|"ja"|0|17100
"239"|"ja"|0|10660
"240"|"ja"|0|27872
"241"|"ja"|0|23560
"242"|"ja"|0|17305
"243"|"ja"|1|28200
"244"|"nein"|0|17080
"245"|"nein"|0|9952
"246"|NA|0|35910
"247"|"nein"|0|13000
"248"|"ja"|0|7790
"249"|NA|0|8300
"250"|"ja"|NA|11000
"251"|"ja"|0|24399
"252"|"nein"|0|30000
"253"|"ja"|0|21500
"254"|"ja"|1|6600
"255"|"nein"|0|20220
"256"|"nein"|0|14756
"257"|"ja"|0|41100
"258"|"ja"|0|9020
"259"|"nein"|0|42800
"260"|"ja"|0|19721
"261"|"ja"|0|14000
"262"|"nein"|1|NA
"263"|"ja"|0|10300
"264"|"ja"|0|79800
"265"|"ja"|0|26590
